e_function,orig_design_name,nres,design,xtal,score_term,e_gap
beta16_cart,CAV1,107,-316.021,-304.00199999999995,fa_elec_total,0.1123271028037389
beta16_cart,DHD127,145,-465.70099999999996,-427.10900000000004,fa_elec_total,0.26615172413793053
beta16_cart,DHD131,150,-501.87,-454.42,fa_elec_total,0.31633333333333324
beta16_cart,DHR4,197,-605.123,-595.727,fa_elec_total,0.047695431472081586
beta16_cart,DHR76,219,-673.6930000000001,-644.9,fa_elec_total,0.1314748858447494
beta16_cart,D_3_212,448,-1371.076,-1295.3029999999999,fa_elec_total,0.16913616071428603
beta16_cart,D_3_633,436,-1282.574,-1198.82,fa_elec_total,0.19209633027522965
beta16_cart,LHD29,129,-380.58500000000004,-375.48999999999995,fa_elec_total,0.039496124031008405
beta16_cart,MC2_7,115,-349.734,-317.525,fa_elec_total,0.2800782608695652
beta16_cart,RPB_PLP3_R6–PLPx6,320,-996.1260000000001,-945.8549999999999,fa_elec_total,0.15709687500000058
beta16_cart,THR1,200,-481.251,-501.507,fa_elec_total,-0.10128000000000015
beta16_cart,THR2,199,-513.68,-519.221,fa_elec_total,-0.027844221105527908
beta16_cart,WSHC6,414,-1332.377,-1217.028,fa_elec_total,0.2786207729468597
beta16_cart_plus_hpsc_lj_changes,5L6HC3_1,236,-771.3699999999999,-745.682,fa_elec_total,0.10884745762711812
beta16_cart_plus_hpsc_lj_changes,6AYYA,283,-857.424,-830.855,fa_elec_total,0.09388339222614826
beta16_cart_plus_hpsc_lj_changes,BB1,109,-324.259,-347.414,fa_elec_total,-0.21243119266055022
beta16_cart_plus_hpsc_lj_changes,BBM2nHm0589,110,-327.742,-306.43499999999995,fa_elec_total,0.19370000000000068
beta16_cart_plus_hpsc_lj_changes,CAV1,107,-310.19,-291.031,fa_elec_total,0.17905607476635507
beta16_cart_plus_hpsc_lj_changes,DHD127,145,-459.162,-422.45099999999996,fa_elec_total,0.25317931034482766
beta16_cart_plus_hpsc_lj_changes,DHD131,150,-492.481,-457.992,fa_elec_total,0.2299266666666665
beta16_cart_plus_hpsc_lj_changes,DHR4,197,-601.687,-581.911,fa_elec_total,0.1003857868020308
beta16_cart_plus_hpsc_lj_changes,DHR76,219,-653.6189999999999,-639.303,fa_elec_total,0.06536986301369825
beta16_cart_plus_hpsc_lj_changes,D_3_212,448,-1354.5430000000001,-1288.401,fa_elec_total,0.14763839285714297
beta16_cart_plus_hpsc_lj_changes,D_3_633,436,-1265.891,-1190.816,fa_elec_total,0.17219036697247717
beta16_cart_plus_hpsc_lj_changes,LHD29,129,-374.35,-357.319,fa_elec_total,0.13202325581395352
beta16_cart_plus_hpsc_lj_changes,MC2_7,115,-345.084,-307.44,fa_elec_total,0.32733913043478263
beta16_cart_plus_hpsc_lj_changes,RPB_PLP3_R6–PLPx6,320,-986.1450000000001,-943.792,fa_elec_total,0.1323531250000002
beta16_cart_plus_hpsc_lj_changes,THR1,200,-489.07000000000005,-495.16100000000006,fa_elec_total,-0.03045500000000004
beta16_cart_plus_hpsc_lj_changes,THR2,199,-507.616,-518.1039999999999,fa_elec_total,-0.05270351758793941
beta16_cart_plus_hpsc_lj_changes,WSHC6,414,-1330.404,-1206.2000000000003,fa_elec_total,0.3000096618357481
beta16_cart,5L6HC3_1,236,-122.37799999999999,-115.41,hbond_sc,0.029525423728813515
beta16_cart,6AYYA,283,-118.941,-109.022,hbond_sc,0.0350494699646643
beta16_cart,BB1,109,-33.069,-37.657,hbond_sc,-0.042091743119266
beta16_cart,BBM2nHm0589,110,-30.828000000000003,-25.445999999999998,hbond_sc,0.04892727272727277
beta16_cart,CAV1,107,-32.079,-25.395,hbond_sc,0.06246728971962618
beta16_cart,DHD127,145,-75.205,-50.818999999999996,hbond_sc,0.1681793103448276
beta16_cart,DHD131,150,-71.98,-52.138000000000005,hbond_sc,0.13227999999999998
beta16_cart,DHR4,197,-68.994,-59.157,hbond_sc,0.04993401015228428
beta16_cart,DHR76,219,-89.196,-68.077,hbond_sc,0.09643378995433789
beta16_cart,D_3_212,448,-183.565,-110.876,hbond_sc,0.16225223214285714
beta16_cart,D_3_633,436,-142.882,-107.985,hbond_sc,0.08003899082568809
beta16_cart,LHD29,129,-52.621,-40.976000000000006,hbond_sc,0.09027131782945734
beta16_cart,MC2_7,115,-23.87,-22.723000000000003,hbond_sc,0.009973913043478248
beta16_cart,RPB_PLP3_R6–PLPx6,320,-91.859,-69.935,hbond_sc,0.06851249999999998
beta16_cart,THR1,200,-17.833,-19.972,hbond_sc,-0.010695000000000015
beta16_cart,THR2,199,-29.726999999999997,-25.891,hbond_sc,0.01927638190954773
beta16_cart,WSHC6,414,-126.95299999999999,-108.712,hbond_sc,0.04406038647342991
beta16_cart_plus_hpsc_lj_changes,5L6HC3_1,236,-121.012,-117.516,hbond_sc,0.014813559322033877
beta16_cart_plus_hpsc_lj_changes,6AYYA,283,-116.266,-105.80799999999999,hbond_sc,0.03695406360424033
beta16_cart_plus_hpsc_lj_changes,BB1,109,-38.428000000000004,-35.649,hbond_sc,0.025495412844036728
beta16_cart_plus_hpsc_lj_changes,BBM2nHm0589,110,-31.933000000000003,-21.936,hbond_sc,0.09088181818181822
beta16_cart_plus_hpsc_lj_changes,CAV1,107,-30.245,-20.752,hbond_sc,0.08871962616822432
beta16_cart_plus_hpsc_lj_changes,DHD127,145,-74.182,-52.163000000000004,hbond_sc,0.1518551724137931
beta16_cart_plus_hpsc_lj_changes,DHD131,150,-74.73,-65.493,hbond_sc,0.06158000000000006
beta16_cart_plus_hpsc_lj_changes,DHR4,197,-68.541,-54.67,hbond_sc,0.07041116751269033
beta16_cart_plus_hpsc_lj_changes,DHR76,219,-86.94,-76.665,hbond_sc,0.04691780821917804
beta16_cart_plus_hpsc_lj_changes,D_3_212,448,-178.005,-101.523,hbond_sc,0.17071875
beta16_cart_plus_hpsc_lj_changes,D_3_633,436,-135.629,-106.895,hbond_sc,0.06590366972477063
beta16_cart_plus_hpsc_lj_changes,LHD29,129,-53.479,-35.375,hbond_sc,0.14034108527131783
beta16_cart_plus_hpsc_lj_changes,MC2_7,115,-23.726999999999997,-21.506999999999998,hbond_sc,0.01930434782608695
beta16_cart_plus_hpsc_lj_changes,RPB_PLP3_R6–PLPx6,320,-92.26,-69.101,hbond_sc,0.07237187500000002
beta16_cart_plus_hpsc_lj_changes,THR1,200,-18.801,-19.843,hbond_sc,-0.005210000000000008
beta16_cart_plus_hpsc_lj_changes,THR2,199,-33.444,-22.585,hbond_sc,0.054567839195979906
beta16_cart_plus_hpsc_lj_changes,WSHC6,414,-129.97299999999998,-117.48299999999999,hbond_sc,0.030169082125603854
beta16_cart,5L6HC3_1,236,-3.552,-6.297999999999999,hbond_bb_sc,-0.01163559322033898
beta16_cart,6AYYA,283,-13.502,-10.26,hbond_bb_sc,0.011455830388692582
beta16_cart,BB1,109,-28.635,-25.666999999999998,hbond_bb_sc,0.02722935779816517
beta16_cart,BBM2nHm0589,110,-13.948,-10.965,hbond_bb_sc,0.027118181818181823
beta16_cart,CAV1,107,-8.26,-10.315,hbond_bb_sc,-0.019205607476635512
beta16_cart,DHD127,145,-2.153,-8.671,hbond_bb_sc,-0.044951724137931026
beta16_cart,DHD131,150,-4.493,-8.203,hbond_bb_sc,-0.024733333333333326
beta16_cart,DHR4,197,-20.476,-15.657,hbond_bb_sc,0.024461928934010148
beta16_cart,DHR76,219,-6.017,-9.253,hbond_bb_sc,-0.014776255707762555
beta16_cart,D_3_212,448,-37.995,-37.481,hbond_bb_sc,0.0011473214285714192
beta16_cart,D_3_633,436,-27.496,-35.003,hbond_bb_sc,-0.017217889908256883
beta16_cart,LHD29,129,-16.256,-23.218000000000004,hbond_bb_sc,-0.053968992248062043
beta16_cart,MC2_7,115,-15.397,-13.302999999999999,hbond_bb_sc,0.018208695652173923
beta16_cart,RPB_PLP3_R6–PLPx6,320,-37.476,-28.16,hbond_bb_sc,0.029112499999999996
beta16_cart,THR1,200,-7.086,-6.957000000000001,hbond_bb_sc,0.0006449999999999978
beta16_cart,THR2,199,-5.367999999999999,-10.137,hbond_bb_sc,-0.02396482412060302
beta16_cart,WSHC6,414,-30.666999999999998,-30.534000000000002,hbond_bb_sc,0.0003212560386473323
beta16_cart_plus_hpsc_lj_changes,5L6HC3_1,236,-4.872,-6.132000000000001,hbond_bb_sc,-0.00533898305084746
beta16_cart_plus_hpsc_lj_changes,6AYYA,283,-12.534,-10.62,hbond_bb_sc,0.006763250883392231
beta16_cart_plus_hpsc_lj_changes,BB1,109,-27.208000000000002,-25.750999999999998,hbond_bb_sc,0.01336697247706426
beta16_cart_plus_hpsc_lj_changes,BBM2nHm0589,110,-13.757,-11.225,hbond_bb_sc,0.02301818181818182
beta16_cart_plus_hpsc_lj_changes,CAV1,107,-8.238999999999999,-11.824000000000002,hbond_bb_sc,-0.03350467289719629
beta16_cart_plus_hpsc_lj_changes,DHD127,145,-2.199,-9.683,hbond_bb_sc,-0.051613793103448276
beta16_cart_plus_hpsc_lj_changes,DHD131,150,-4.499,-5.681,hbond_bb_sc,-0.007880000000000003
beta16_cart_plus_hpsc_lj_changes,DHR4,197,-20.323,-13.993,hbond_bb_sc,0.032131979695431474
beta16_cart_plus_hpsc_lj_changes,DHR76,219,-3.946,-8.481,hbond_bb_sc,-0.020707762557077625
beta16_cart_plus_hpsc_lj_changes,D_3_212,448,-38.051,-42.283,hbond_bb_sc,-0.00944642857142857
beta16_cart_plus_hpsc_lj_changes,D_3_633,436,-27.307,-33.306,hbond_bb_sc,-0.013759174311926603
beta16_cart_plus_hpsc_lj_changes,LHD29,129,-16.095,-19.499000000000002,hbond_bb_sc,-0.026387596899224833
beta16_cart_plus_hpsc_lj_changes,MC2_7,115,-15.2,-11.440999999999999,hbond_bb_sc,0.032686956521739134
beta16_cart_plus_hpsc_lj_changes,RPB_PLP3_R6–PLPx6,320,-37.454,-30.419,hbond_bb_sc,0.021984375
beta16_cart_plus_hpsc_lj_changes,THR1,200,-6.8629999999999995,-6.932,hbond_bb_sc,-0.0003450000000000042
beta16_cart_plus_hpsc_lj_changes,THR2,199,-5.132999999999999,-8.391,hbond_bb_sc,-0.016371859296482418
beta16_cart_plus_hpsc_lj_changes,WSHC6,414,-35.867,-25.987,hbond_bb_sc,0.023864734299516906
beta16_cart,5L6HC3_1,236,-0.8109999999999999,-1.963,hbond_lr_bb,-0.00488135593220339
beta16_cart,6AYYA,283,0.0,0.0,hbond_lr_bb,0.0
beta16_cart,BB1,109,-88.63600000000001,-87.29,hbond_lr_bb,0.012348623853211043
beta16_cart,BBM2nHm0589,110,-60.291000000000004,-60.996,hbond_lr_bb,-0.006409090909090894
beta16_cart,CAV1,107,-60.573,-56.473,hbond_lr_bb,0.03831775700934581
beta16_cart,DHD127,145,-1.216,-1.217,hbond_lr_bb,-6.8965517241387025e-06
beta16_cart,DHD131,150,-0.703,0.0,hbond_lr_bb,0.004686666666666666
beta16_cart,DHR4,197,-10.042,-6.763,hbond_lr_bb,0.01664467005076142
beta16_cart,DHR76,219,-6.99,-9.577,hbond_lr_bb,-0.011812785388127852
beta16_cart,D_3_212,448,-13.075,-11.325,hbond_lr_bb,0.00390625
beta16_cart,D_3_633,436,0.0,0.0,hbond_lr_bb,0.0
beta16_cart,LHD29,129,-54.876000000000005,-48.431999999999995,hbond_lr_bb,0.0499534883720931
beta16_cart,MC2_7,115,-67.491,-65.373,hbond_lr_bb,0.01841739130434778
beta16_cart,RPB_PLP3_R6–PLPx6,320,-5.309,-9.173,hbond_lr_bb,-0.012074999999999999
beta16_cart,THR1,200,-5.212000000000001,-2.255,hbond_lr_bb,0.014785000000000003
beta16_cart,THR2,199,-8.825,-3.701,hbond_lr_bb,0.025748743718592957
beta16_cart,WSHC6,414,0.0,0.0,hbond_lr_bb,0.0
beta16_cart_plus_hpsc_lj_changes,5L6HC3_1,236,0.0,-2.6710000000000003,hbond_lr_bb,-0.011317796610169493
beta16_cart_plus_hpsc_lj_changes,6AYYA,283,0.0,0.0,hbond_lr_bb,0.0
beta16_cart_plus_hpsc_lj_changes,BB1,109,-87.97399999999999,-86.90799999999999,hbond_lr_bb,0.00977981651376149
beta16_cart_plus_hpsc_lj_changes,BBM2nHm0589,110,-58.917,-61.855,hbond_lr_bb,-0.026709090909090866
beta16_cart_plus_hpsc_lj_changes,CAV1,107,-60.381,-56.419,hbond_lr_bb,0.0370280373831776
beta16_cart_plus_hpsc_lj_changes,DHD127,145,-1.202,-1.247,hbond_lr_bb,-0.00031034482758620795
beta16_cart_plus_hpsc_lj_changes,DHD131,150,-0.624,0.0,hbond_lr_bb,0.00416
beta16_cart_plus_hpsc_lj_changes,DHR4,197,-9.836,-7.056,hbond_lr_bb,0.014111675126903554
beta16_cart_plus_hpsc_lj_changes,DHR76,219,-8.558,-9.103,hbond_lr_bb,-0.0024885844748858445
beta16_cart_plus_hpsc_lj_changes,D_3_212,448,-12.647,-11.054,hbond_lr_bb,0.0035558035714285713
beta16_cart_plus_hpsc_lj_changes,D_3_633,436,0.0,0.0,hbond_lr_bb,0.0
beta16_cart_plus_hpsc_lj_changes,LHD29,129,-52.708,-48.09,hbond_lr_bb,0.03579844961240306
beta16_cart_plus_hpsc_lj_changes,MC2_7,115,-67.596,-65.14699999999999,hbond_lr_bb,0.02129565217391315
beta16_cart_plus_hpsc_lj_changes,RPB_PLP3_R6–PLPx6,320,-5.8389999999999995,-8.776,hbond_lr_bb,-0.009178125
beta16_cart_plus_hpsc_lj_changes,THR1,200,-3.687,-2.3369999999999997,hbond_lr_bb,0.006750000000000001
beta16_cart_plus_hpsc_lj_changes,THR2,199,-7.559,-3.736,hbond_lr_bb,0.019211055276381908
beta16_cart_plus_hpsc_lj_changes,WSHC6,414,0.0,0.0,hbond_lr_bb,0.0
beta16_cart,5L6HC3_1,236,-267.595,-261.411,hbond_sr_bb,0.026203389830508586
beta16_cart,6AYYA,283,-322.211,-318.019,hbond_sr_bb,0.014812720848056562
beta16_cart,BB1,109,-26.944000000000003,-22.335,hbond_sr_bb,0.04228440366972479
beta16_cart,BBM2nHm0589,110,-48.533,-45.573,hbond_sr_bb,0.026909090909090917
beta16_cart,CAV1,107,-49.341,-50.715,hbond_sr_bb,-0.012841121495327125
beta16_cart,DHD127,145,-162.733,-155.67,hbond_sr_bb,0.04871034482758632
beta16_cart,DHD131,150,-171.03900000000002,-167.195,hbond_sr_bb,0.02562666666666682
beta16_cart,DHR4,197,-197.826,-197.183,hbond_sr_bb,0.0032639593908629478
beta16_cart,DHR76,219,-243.43200000000002,-237.34,hbond_sr_bb,0.027817351598173574
beta16_cart,D_3_212,448,-477.32099999999997,-468.103,hbond_sr_bb,0.02057589285714277
beta16_cart,D_3_633,436,-476.93300000000005,-457.35,hbond_sr_bb,0.04491513761467896
beta16_cart,LHD29,129,-76.827,-77.321,hbond_sr_bb,-0.0038294573643410834
beta16_cart,MC2_7,115,-48.926,-44.288000000000004,hbond_sr_bb,0.04033043478260868
beta16_cart,RPB_PLP3_R6–PLPx6,320,-310.183,-302.23400000000004,hbond_sr_bb,0.02484062499999986
beta16_cart,THR1,200,-207.669,-211.14700000000002,hbond_sr_bb,-0.017390000000000044
beta16_cart,THR2,199,-206.252,-201.02,hbond_sr_bb,0.026291457286432156
beta16_cart,WSHC6,414,-460.401,-435.85900000000004,hbond_sr_bb,0.05928019323671491
beta16_cart_plus_hpsc_lj_changes,5L6HC3_1,236,-267.707,-263.70799999999997,hbond_sr_bb,0.01694491525423739
beta16_cart_plus_hpsc_lj_changes,6AYYA,283,-324.254,-320.028,hbond_sr_bb,0.014932862190812718
beta16_cart_plus_hpsc_lj_changes,BB1,109,-26.807,-23.967,hbond_sr_bb,0.026055045871559632
beta16_cart_plus_hpsc_lj_changes,BBM2nHm0589,110,-48.496,-46.452,hbond_sr_bb,0.01858181818181822
beta16_cart_plus_hpsc_lj_changes,CAV1,107,-50.056000000000004,-51.468,hbond_sr_bb,-0.013196261682242982
beta16_cart_plus_hpsc_lj_changes,DHD127,145,-162.856,-155.108,hbond_sr_bb,0.05343448275862062
beta16_cart_plus_hpsc_lj_changes,DHD131,150,-171.47799999999998,-164.73,hbond_sr_bb,0.044986666666666605
beta16_cart_plus_hpsc_lj_changes,DHR4,197,-199.90200000000002,-198.18400000000003,hbond_sr_bb,0.008720812182741063
beta16_cart_plus_hpsc_lj_changes,DHR76,219,-244.928,-237.797,hbond_sr_bb,0.03256164383561644
beta16_cart_plus_hpsc_lj_changes,D_3_212,448,-477.509,-471.05400000000003,hbond_sr_bb,0.014408482142857107
beta16_cart_plus_hpsc_lj_changes,D_3_633,436,-477.61400000000003,-458.957,hbond_sr_bb,0.04279128440366981
beta16_cart_plus_hpsc_lj_changes,LHD29,129,-76.295,-77.344,hbond_sr_bb,-0.008131782945736375
beta16_cart_plus_hpsc_lj_changes,MC2_7,115,-48.935,-44.349,hbond_sr_bb,0.039878260869565266
beta16_cart_plus_hpsc_lj_changes,RPB_PLP3_R6–PLPx6,320,-310.58799999999997,-303.586,hbond_sr_bb,0.021881249999999852
beta16_cart_plus_hpsc_lj_changes,THR1,200,-208.757,-212.262,hbond_sr_bb,-0.017524999999999978
beta16_cart_plus_hpsc_lj_changes,THR2,199,-208.49599999999998,-201.15,hbond_sr_bb,0.03691457286432148
beta16_cart_plus_hpsc_lj_changes,WSHC6,414,-459.907,-433.07199999999995,hbond_sr_bb,0.06481884057971023
beta16_cart,5L6HC3_1,236,-394.336,-385.082,hb,0.03921186440677974
beta16_cart,6AYYA,283,-454.654,-437.30100000000004,hb,0.061318021201413254
beta16_cart,BB1,109,-177.28400000000005,-172.949,hb,0.039770642201835196
beta16_cart,BBM2nHm0589,110,-153.60000000000002,-142.98000000000002,hb,0.09654545454545459
beta16_cart,CAV1,107,-150.25300000000001,-142.898,hb,0.06873831775700952
beta16_cart,DHD127,145,-241.30700000000002,-216.37699999999998,hb,0.17193103448275887
beta16_cart,DHD131,150,-248.21500000000003,-227.536,hb,0.1378600000000002
beta16_cart,DHR4,197,-297.33799999999997,-278.76,hb,0.09430456852791866
beta16_cart,DHR76,219,-345.635,-324.247,hb,0.0976621004566209
beta16_cart,D_3_212,448,-711.9559999999999,-627.785,hb,0.18788169642857128
beta16_cart,D_3_633,436,-647.311,-600.338,hb,0.10773623853211026
beta16_cart,LHD29,129,-200.58,-189.947,hb,0.08242635658914736
beta16_cart,MC2_7,115,-155.68400000000003,-145.687,hb,0.08693043478260881
beta16_cart,RPB_PLP3_R6–PLPx6,320,-444.827,-409.50200000000007,hb,0.11039062499999978
beta16_cart,THR1,200,-237.8,-240.33100000000002,hb,-0.012655000000000029
beta16_cart,THR2,199,-250.17200000000003,-240.74900000000002,hb,0.047351758793969856
beta16_cart,WSHC6,414,-618.021,-575.105,hb,0.10366183574879212
beta16_cart_plus_hpsc_lj_changes,5L6HC3_1,236,-393.591,-390.027,hb,0.015101694915254328
beta16_cart_plus_hpsc_lj_changes,6AYYA,283,-453.05400000000003,-436.456,hb,0.05865017667844528
beta16_cart_plus_hpsc_lj_changes,BB1,109,-180.417,-172.27499999999998,hb,0.07469724770642225
beta16_cart_plus_hpsc_lj_changes,BBM2nHm0589,110,-153.103,-141.468,hb,0.10577272727272745
beta16_cart_plus_hpsc_lj_changes,CAV1,107,-148.92100000000002,-140.46300000000002,hb,0.0790467289719626
beta16_cart_plus_hpsc_lj_changes,DHD127,145,-240.439,-218.20100000000002,hb,0.15336551724137912
beta16_cart_plus_hpsc_lj_changes,DHD131,150,-251.33099999999996,-235.904,hb,0.10284666666666643
beta16_cart_plus_hpsc_lj_changes,DHR4,197,-298.60200000000003,-273.903,hb,0.12537563451776657
beta16_cart_plus_hpsc_lj_changes,DHR76,219,-344.37199999999996,-332.046,hb,0.05628310502283089
beta16_cart_plus_hpsc_lj_changes,D_3_212,448,-706.212,-625.914,hb,0.17923660714285714
beta16_cart_plus_hpsc_lj_changes,D_3_633,436,-640.55,-599.158,hb,0.09493577981651362
beta16_cart_plus_hpsc_lj_changes,LHD29,129,-198.577,-180.308,hb,0.14162015503875974
beta16_cart_plus_hpsc_lj_changes,MC2_7,115,-155.458,-142.444,hb,0.11316521739130443
beta16_cart_plus_hpsc_lj_changes,RPB_PLP3_R6–PLPx6,320,-446.14099999999996,-411.882,hb,0.10705937499999987
beta16_cart_plus_hpsc_lj_changes,THR1,200,-238.108,-241.374,hb,-0.016329999999999956
beta16_cart_plus_hpsc_lj_changes,THR2,199,-254.63199999999998,-235.862,hb,0.09432160804020091
beta16_cart_plus_hpsc_lj_changes,WSHC6,414,-625.747,-576.5419999999999,hb,0.11885265700483101
beta16_cart,5L6HC3_1,236,-1501.2320000000002,-1497.556,fa_atr,0.01557627118644135
beta16_cart,6AYYA,283,-1815.068,-1832.692,fa_atr,-0.06227561837455839
beta16_cart,BB1,109,-616.0419999999999,-608.191,fa_atr,0.07202752293577877
beta16_cart,BBM2nHm0589,110,-637.5930000000001,-636.503,fa_atr,0.009909090909091199
beta16_cart,CAV1,107,-644.297,-654.009,fa_atr,-0.09076635514018681
beta16_cart,DHD127,145,-944.664,-956.791,fa_atr,-0.08363448275862115
beta16_cart,DHD131,150,-990.057,-994.437,fa_atr,-0.02919999999999997
beta16_cart,DHR4,197,-1244.498,-1238.609,fa_atr,0.029893401015229054
beta16_cart,DHR76,219,-1477.421,-1455.297,fa_atr,0.10102283105022841
beta16_cart,D_3_212,448,-3160.1220000000003,-3135.034,fa_atr,0.05600000000000043
beta16_cart,D_3_633,436,-3117.3,-3084.03,fa_atr,0.07630733944954124
beta16_cart,LHD29,129,-831.346,-816.4110000000001,fa_atr,0.1157751937984492
beta16_cart,MC2_7,115,-685.552,-677.199,fa_atr,0.07263478260869623
beta16_cart,RPB_PLP3_R6–PLPx6,320,-2123.075,-2069.604,fa_atr,0.167096875
beta16_cart,THR1,200,-1265.7839999999999,-1271.663,fa_atr,-0.029395000000000664
beta16_cart,THR2,199,-1246.471,-1255.662,fa_atr,-0.046185929648241364
beta16_cart,WSHC6,414,-2779.9840000000004,-2628.849,fa_atr,0.3650603864734305
beta16_cart_plus_hpsc_lj_changes,5L6HC3_1,236,-1494.046,-1478.636,fa_atr,0.06529661016949187
beta16_cart_plus_hpsc_lj_changes,6AYYA,283,-1801.729,-1818.37,fa_atr,-0.05880212014134222
beta16_cart_plus_hpsc_lj_changes,BB1,109,-609.9680000000001,-611.187,fa_atr,-0.011183486238531534
beta16_cart_plus_hpsc_lj_changes,BBM2nHm0589,110,-632.163,-632.611,fa_atr,-0.004072727272727082
beta16_cart_plus_hpsc_lj_changes,CAV1,107,-649.383,-646.261,fa_atr,0.029177570093458605
beta16_cart_plus_hpsc_lj_changes,DHD127,145,-933.4580000000001,-950.0939999999999,fa_atr,-0.11473103448275761
beta16_cart_plus_hpsc_lj_changes,DHD131,150,-987.807,-981.795,fa_atr,0.04008000000000038
beta16_cart_plus_hpsc_lj_changes,DHR4,197,-1230.725,-1221.032,fa_atr,0.049203045685279105
beta16_cart_plus_hpsc_lj_changes,DHR76,219,-1453.5839999999998,-1451.713,fa_atr,0.008543378995433183
beta16_cart_plus_hpsc_lj_changes,D_3_212,448,-3138.812,-3106.6890000000003,fa_atr,0.07170312499999909
beta16_cart_plus_hpsc_lj_changes,D_3_633,436,-3077.594,-3053.817,fa_atr,0.05453440366972487
beta16_cart_plus_hpsc_lj_changes,LHD29,129,-826.096,-814.3,fa_atr,0.09144186046511665
beta16_cart_plus_hpsc_lj_changes,MC2_7,115,-682.21,-662.525,fa_atr,0.1711739130434788
beta16_cart_plus_hpsc_lj_changes,RPB_PLP3_R6–PLPx6,320,-2103.015,-2050.534,fa_atr,0.16400312499999928
beta16_cart_plus_hpsc_lj_changes,THR1,200,-1246.296,-1255.052,fa_atr,-0.04377999999999929
beta16_cart_plus_hpsc_lj_changes,THR2,199,-1231.891,-1233.015,fa_atr,-0.005648241206030269
beta16_cart_plus_hpsc_lj_changes,WSHC6,414,-2750.4829999999997,-2599.736,fa_atr,0.3641231884057967
beta16_cart,5L6HC3_1,236,112.887,116.33200000000001,fa_rep,0.014597457627118676
beta16_cart,6AYYA,283,153.95600000000002,156.365,fa_rep,0.008512367491166049
beta16_cart,BB1,109,63.869,67.429,fa_rep,0.03266055045871562
